NO CUT STREET OUTLYING AREAS,SECTION,COMPLETED
MICHELIN CIR,RED ROCK to 350'E RED ROCK,Under Construction
RED ROCK ST,100'N LONE CREEK to VIKING,Under Construction
RED ROCK ST,THOR to 200'S THOR,Under Construction
SADDLE AVE,LINDELL to DUNEVILLE,Under Construction
WALDORF CT,SADDLE to 200'S SADDLE,Under Construction
CALIENTE CT,CALIENTE ST to 125'E CALIENTE ST,Under Construction
CALIENTE ST,HACIENDA to 60’N RAYHIDE,Under Construction
CLYDESDALE ST,RAWHIDE to HACIENDA,Under Construction
JEFFREYS ST,750'N RENO to TROPICANA,Under Construction
LATIGO ST,RAWHIDE to WHIPPLETREE,Under Construction
LINDERO PL,SANDALWOOD to 590'N SANDALWOOD,Under Construction
PAPAYA CT,CALIENTE to 145'E CALIENTE,Under Construction
RAWHIDE ST,CLYDESDALE to EASTERN,Under Construction
RENO AVE,310'E MARYLAND to SPENCER,Under Construction
SANDALWOOD LA,CALIENTE to SPENCER,Under Construction
TAMARUS ST,HACIENDA to TROPICANA,Under Construction
WHIPPLETREE AVE,CLYDESDALE to LATIGO,Under Construction
APPLETON DR,EXETER to EASEMENT,Under Construction
DUNSBACH WY,EXETER to EASEMENT,Under Construction
EASEMENT LN,APPLETON to MENDON,Under Construction
ENFIELD CIR,KILGORE to 100'S KILGORE,Under Construction
EXETER DR,MENDON to APPLETON,Under Construction
FALLONA AVE,HOLLYWOOD to RADWICK,Under Construction
HOPKINS DR,EXETER to EASEMENT,Under Construction
ISSAC AVE,EXETER to EASEMENT,Under Construction
JUDSON AVE,HOLLYWOOD to RADWICK,Under Construction
KEPLER DR,EXETER to EASEMENT,Under Construction
KILGORE DR,RADWICK to EASEMENT,Under Construction
LARONDA LN,HOLLYWOOD to RADWICK,Under Construction
LEGALLA LN,HOLLYWOOD to RADWICK,Under Construction
MENDON LN,EXETER to EASEMENT,Under Construction
SOLARON AVE,HOLLYWOOD to RADWICK,Under Construction
SOLDELA DR,HOLLYWOOD to RADWICK,Under Construction
TIFFOLLO LN,HOLLYWOOD to EXETER,Under Construction
BLACK ROCK WY,PINE RIDGE to WIND RIVER,Under Construction
DAMON DR,WALNUT to JEFF,Under Construction
INDIAN WELLS RD,PINE RIDGE to WIND RIVER,Under Construction
JEFF DR,DAMON to BETTY,Under Construction
LEROY DR,JEFF to LOWELL,Under Construction
LOWELL AVE,LEROY to BETTY,Under Construction
MESA DR,PINE RIDGE to RIATA,Under Construction
MESA DR,RED LAKE to WIND RIVER,Under Construction
PINE RIDGE DR,INDIAN WELLS to BLACK ROCK,Under Construction
RED LAKE WY,INDIAN WELLS to MESA,Under Construction
RIATA WY,BONANZA to AWBURY,Under Construction
WIND RIVER DR,CEDAR to BLACK ROCK,Under Construction
BIELA AVE,420'W JASON to TROOPER,Under Construction
BIELA AVE,DAMICO to RAWHIDE,Under Construction
CRELLIN CIR,SANDHILL to 605'W SANDHILL,Under Construction
DAMICO DR,WINNER to RAWHIDE,Under Construction
EVANGELINE CT,NICOLE to 115'N NICOLE,Under Construction
JASON WY,NICOLE to RAWHIDE,Under Construction
JUNIOR CT,NICOLE to 150'S NICOLE,Under Construction
LORRAINE LN,SANDHILL to 605'W SANDHILL,Under Construction
MISTY CT,JASON to 210'W JASON,Under Construction
NICOLE CT,NICOLE to 155'S NICOLE,Under Construction
NICOLE ST,JASON to SANDHILL,Under Construction
RAWHIDE CT,WINNER to RAWHIDE ST,Under Construction
ROBERT CT,NICOLE to 155'S NICOLE,Under Construction
TROOPER ST,NICOLE to BIELA,Under Construction
WINNER DR,DAMICO to RAWHIDE,Under Construction
HEDGEFORD CT,RUSSELL to 430'S RUSSELL,Under Construction
HEDGEHAVEN CT,RUSSELL to 430'S RUSSELL,Under Construction
CHESTNUT ST,SUNNYSLOPE to WHIPPLETREE,Under Construction
CORRAL CT,WHIPPLETREE to 285'S WHIPPLETREE,Under Construction
LEIGH AVE,SPENCER to OXBOW,Under Construction
OXBOW ST,RAWHIDE to WHIPPLETREE,Under Construction
RAWHIDE ST,SURREY to SPENCER,Under Construction
SUNNYSLOPE AVE,CHESTNUT to SURREY,Under Construction
SURREY ST,RUSSELL to HACIENDA,Under Construction
WHIPPLETREE AVE,OXBOW to SURREY,Under Construction
CALLE DEL SOL,VIA SAN RAFAEL to VIA RENALDO,Under Construction
CALLE ESQUINA,VIA MADRIGAL to 135'N VIA MADRIGAL,Under Construction
CALLE FERMO,VIA MADRIGAL to 160'N VIA MADRIGAL,Under Construction
CALLE MIRADOR,VIA TORINO to 145'N VIA MADRIGAL,Under Construction
CALLE PALOMA,VIA SAN RAFAEL to VIA SAN MARCO,Under Construction
CALLE PAULA,VIA SAN RAFAEL to VIA SAN ANDROS,Under Construction
CALLE SAN REMO,FLAMINGO to VIA SAN RAFAEL,Under Construction
CALLE SEDILLO,VIA SAN MARCO to 160'N VIA MADRIGAL,Under Construction
CALLE TEREON,VIA MADRIGAL to 135'N VIA MADRIGAL,Under Construction
CALLE TIARA,VIA SAN ANDROS to VIA RENALDO,Under Construction
VIA MADRIGAL,CALLE DEL SOL to CALLE SADILLO,Under Construction
VIA MADRIGAL,CALLE FERMO to ARVILLE,Under Construction
VIA RENALDO,CALLE TIARA to CALLE DEL SOL,Under Construction
VIA SAN ANDROS,DECATUR to CALLE PAULA,Under Construction
VIA SAN MARCO,CALLE DEL SOL to CALLE MIRADOR,Under Construction
VIA SAN RAFAEL,CALLE PAULA to CALLE MIRADOR,Under Construction
VIA TORINO,510'W CALLE SAN REMO to ARVILLE,Under Construction
APPLETREE CIR,FRESHWATER to 315'W FRESHWATER,Under Construction
BARBARY CIR,FRESHWATER to 310'W FRESHWATER,Under Construction
FRESHWATER DR,SHELTER to PEACHTREE,Under Construction
HACKAMORE DR,SHELTER to GREEN CANYON,Under Construction
MERMAID CIR,FRESHWATER to 310'W FRESHWATER,Under Construction
ROCKVALE DR,SHELTER to LANTANA,Under Construction
SHELTER LN,TREVINS to TORREY PINES,Under Construction
CAMPANA DR,520'W JADERO to 100'E JADERO,Under Construction
JADERO DR,130'N MT NIDO to CAMPANA,Under Construction
MT NIDO DR,VAN CAROL to 555'E VAN CAROL,Under Construction
TIBANA WY,PEARLMAN to 370'E PEARLMAN,Under Construction
