RED ROCK ST,100'N LONE CREEK to VIKING,4/3/2017
RED ROCK ST,THOR to 200'S THOR,4/3/2017
SADDLE AVE,LINDELL to DUNEVILLE,4/3/2017
WALDORF CT,SADDLE to 200'S SADDLE,4/3/2017
CALIENTE CT,CALIENTE ST to 125'E CALIENTE ST,4/3/2017
CALIENTE ST,HACIENDA to 60’N RAYHIDE,4/3/2017
CLYDESDALE ST,RAWHIDE to HACIENDA,4/3/2017
JEFFREYS ST,750'N RENO to TROPICANA,4/3/2017
LATIGO ST,RAWHIDE to WHIPPLETREE,4/3/2017
LINDERO PL,SANDALWOOD to 590'N SANDALWOOD,4/3/2017
PAPAYA CT,CALIENTE to 145'E CALIENTE,4/3/2017
RAWHIDE ST,CLYDESDALE to EASTERN,4/3/2017
RENO AVE,310'E MARYLAND to SPENCER,4/3/2017
SANDALWOOD LA,CALIENTE to SPENCER,4/3/2017
TAMARUS ST,HACIENDA to TROPICANA,4/3/2017
WHIPPLETREE AVE,CLYDESDALE to LATIGO,4/3/2017
APPLETON DR,EXETER to EASEMENT,4/3/2017
DUNSBACH WY,EXETER to EASEMENT,4/3/2017
EASEMENT LN,APPLETON to MENDON,4/3/2017
ENFIELD CIR,KILGORE to 100'S KILGORE,4/3/2017
EXETER DR,MENDON to APPLETON,4/3/2017
FALLONA AVE,HOLLYWOOD to RADWICK,4/3/2017
HOPKINS DR,EXETER to EASEMENT,4/3/2017
ISSAC AVE,EXETER to EASEMENT,4/3/2017
JUDSON AVE,HOLLYWOOD to RADWICK,4/3/2017
KEPLER DR,EXETER to EASEMENT,4/3/2017
KILGORE DR,RADWICK to EASEMENT,4/3/2017
LARONDA LN,HOLLYWOOD to RADWICK,4/3/2017
LEGALLA LN,HOLLYWOOD to RADWICK,4/3/2017
MENDON LN,EXETER to EASEMENT,4/3/2017
SOLARON AVE,HOLLYWOOD to RADWICK,4/3/2017
SOLDELA DR,HOLLYWOOD to RADWICK,4/3/2017
TIFFOLLO LN,HOLLYWOOD to EXETER,4/3/2017
BLACK ROCK WY,PINE RIDGE to WIND RIVER,4/3/2017
DAMON DR,WALNUT to JEFF,4/3/2017
INDIAN WELLS RD,PINE RIDGE to WIND RIVER,4/3/2017
JEFF DR,DAMON to BETTY,4/3/2017
LEROY DR,JEFF to LOWELL,4/3/2017
LOWELL AVE,LEROY to BETTY,4/3/2017
MESA DR,PINE RIDGE to RIATA,4/3/2017
MESA DR,RED LAKE to WIND RIVER,4/3/2017
PINE RIDGE DR,INDIAN WELLS to BLACK ROCK,4/3/2017
RED LAKE WY,INDIAN WELLS to MESA,4/3/2017
RIATA WY,BONANZA to AWBURY,4/3/2017
WIND RIVER DR,CEDAR to BLACK ROCK,4/3/2017
BIELA AVE,420'W JASON to TROOPER,4/3/2017
BIELA AVE,DAMICO to RAWHIDE,4/3/2017
CRELLIN CIR,SANDHILL to 605'W SANDHILL,4/3/2017
DAMICO DR,WINNER to RAWHIDE,4/3/2017
EVANGELINE CT,NICOLE to 115'N NICOLE,4/3/2017
JASON WY,NICOLE to RAWHIDE,4/3/2017
JUNIOR CT,NICOLE to 150'S NICOLE,4/3/2017
LORRAINE LN,SANDHILL to 605'W SANDHILL,4/3/2017
MISTY CT,JASON to 210'W JASON,4/3/2017
NICOLE CT,NICOLE to 155'S NICOLE,4/3/2017
NICOLE ST,JASON to SANDHILL,4/3/2017
RAWHIDE CT,WINNER to RAWHIDE ST,4/3/2017
ROBERT CT,NICOLE to 155'S NICOLE,4/3/2017
TROOPER ST,NICOLE to BIELA,4/3/2017
WINNER DR,DAMICO to RAWHIDE,4/3/2017
HEDGEFORD CT,RUSSELL to 430'S RUSSELL,4/3/2017
HEDGEHAVEN CT,RUSSELL to 430'S RUSSELL,4/3/2017
CHESTNUT ST,SUNNYSLOPE to WHIPPLETREE,4/3/2017
CORRAL CT,WHIPPLETREE to 285'S WHIPPLETREE,4/3/2017
LEIGH AVE,SPENCER to OXBOW,4/3/2017
OXBOW ST,RAWHIDE to WHIPPLETREE,4/3/2017
RAWHIDE ST,SURREY to SPENCER,4/3/2017
SUNNYSLOPE AVE,CHESTNUT to SURREY,4/3/2017
SURREY ST,RUSSELL to HACIENDA,4/3/2017
WHIPPLETREE AVE,OXBOW to SURREY,4/3/2017
CALLE DEL SOL,VIA SAN RAFAEL to VIA RENALDO,4/3/2017
CALLE ESQUINA,VIA MADRIGAL to 135'N VIA MADRIGAL,4/3/2017
CALLE FERMO,VIA MADRIGAL to 160'N VIA MADRIGAL,4/3/2017
CALLE MIRADOR,VIA TORINO to 145'N VIA MADRIGAL,4/3/2017
CALLE PALOMA,VIA SAN RAFAEL to VIA SAN MARCO,4/3/2017
CALLE PAULA,VIA SAN RAFAEL to VIA SAN ANDROS,4/3/2017
CALLE SAN REMO,FLAMINGO to VIA SAN RAFAEL,4/3/2017
CALLE SEDILLO,VIA SAN MARCO to 160'N VIA MADRIGAL,4/3/2017
CALLE TEREON,VIA MADRIGAL to 135'N VIA MADRIGAL,4/3/2017
CALLE TIARA,VIA SAN ANDROS to VIA RENALDO,4/3/2017
VIA MADRIGAL,CALLE DEL SOL to CALLE SADILLO,4/3/2017
VIA MADRIGAL,CALLE FERMO to ARVILLE,4/3/2017
VIA RENALDO,CALLE TIARA to CALLE DEL SOL,4/3/2017
VIA SAN ANDROS,DECATUR to CALLE PAULA,4/3/2017
VIA SAN MARCO,CALLE DEL SOL to CALLE MIRADOR,4/3/2017
VIA SAN RAFAEL,CALLE PAULA to CALLE MIRADOR,4/3/2017
VIA TORINO,510'W CALLE SAN REMO to ARVILLE,4/3/2017
APPLETREE CIR,FRESHWATER to 315'W FRESHWATER,4/3/2017
BARBARY CIR,FRESHWATER to 310'W FRESHWATER,4/3/2017
FRESHWATER DR,SHELTER to PEACHTREE,4/3/2017
HACKAMORE DR,SHELTER to GREEN CANYON,4/3/2017
MERMAID CIR,FRESHWATER to 310'W FRESHWATER,4/3/2017
ROCKVALE DR,SHELTER to LANTANA,4/3/2017
SHELTER LN,TREVINS to TORREY PINES,4/3/2017
CAMPANA DR,520'W JADERO to 100'E JADERO,4/3/2017
JADERO DR,130'N MT NIDO to CAMPANA,4/3/2017
MT NIDO DR,VAN CAROL to 555'E VAN CAROL,4/3/2017
TIBANA WY,PEARLMAN to 370'E PEARLMAN,4/3/2017
